time1,time2,bodystate
Mon Mar 10 10:03:00 2014,Mon Mar 10 10:12:00 2014,light_activity
Mon Mar 10 09:54:00 2014,Mon Mar 10 10:03:00 2014,inactive
Mon Mar 10 09:45:00 2014,Mon Mar 10 09:54:00 2014,light_activity
Mon Mar 10 09:39:00 2014,Mon Mar 10 09:45:00 2014,inactive
Mon Mar 10 09:24:00 2014,Mon Mar 10 09:39:00 2014,light_activity
Mon Mar 10 09:21:00 2014,Mon Mar 10 09:24:00 2014,inactive
Mon Mar 10 09:20:00 2014,Mon Mar 10 09:21:00 2014,light_activity
Mon Mar 10 08:58:00 2014,Mon Mar 10 09:20:00 2014,inactive
Mon Mar 10 08:57:00 2014,Mon Mar 10 08:58:00 2014,light_activity
Mon Mar 10 08:39:00 2014,Mon Mar 10 08:57:00 2014,inactive
Mon Mar 10 08:35:00 2014,Mon Mar 10 08:39:00 2014,light_activity
Mon Mar 10 08:32:00 2014,Mon Mar 10 08:35:00 2014,inactive
Mon Mar 10 08:31:00 2014,Mon Mar 10 08:32:00 2014,light_activity
Mon Mar 10 08:26:00 2014,Mon Mar 10 08:31:00 2014,inactive
Sun Mar  9 22:07:00 2014,Mon Mar 10 08:26:00 2014,sleep
Sun Mar  9 22:03:00 2014,Sun Mar  9 22:07:00 2014,light_activity
Sun Mar  9 21:53:00 2014,Sun Mar  9 22:03:00 2014,off_wrist
Sun Mar  9 21:48:00 2014,Sun Mar  9 21:53:00 2014,light_activity
Sun Mar  9 21:32:00 2014,Sun Mar  9 21:48:00 2014,off_wrist
Sun Mar  9 21:19:00 2014,Sun Mar  9 21:32:00 2014,inactive
Sat Mar  8 17:32:00 2014,Sun Mar  9 21:19:00 2014,off_wrist
Sat Mar  8 17:27:00 2014,Sat Mar  8 17:32:00 2014,light_activity
Sat Mar  8 17:14:00 2014,Sat Mar  8 17:27:00 2014,off_wrist
Sat Mar  8 17:12:00 2014,Sat Mar  8 17:14:00 2014,light_activity
Sat Mar  8 15:42:00 2014,Sat Mar  8 17:12:00 2014,sleep
Sat Mar  8 15:29:00 2014,Sat Mar  8 15:42:00 2014,inactive
Sat Mar  8 15:27:00 2014,Sat Mar  8 15:29:00 2014,light_activity
Sat Mar  8 14:53:00 2014,Sat Mar  8 15:27:00 2014,inactive
Sat Mar  8 14:44:00 2014,Sat Mar  8 14:53:00 2014,light_activity
Sat Mar  8 14:41:00 2014,Sat Mar  8 14:44:00 2014,inactive
Sat Mar  8 14:16:00 2014,Sat Mar  8 14:41:00 2014,light_activity
Sat Mar  8 14:10:00 2014,Sat Mar  8 14:16:00 2014,inactive
Sat Mar  8 13:56:00 2014,Sat Mar  8 14:10:00 2014,light_activity
Sat Mar  8 13:50:00 2014,Sat Mar  8 13:56:00 2014,inactive
Sat Mar  8 13:37:00 2014,Sat Mar  8 13:50:00 2014,light_activity
Sat Mar  8 13:34:00 2014,Sat Mar  8 13:37:00 2014,inactive
Sat Mar  8 13:23:00 2014,Sat Mar  8 13:34:00 2014,light_activity
Sat Mar  8 13:20:00 2014,Sat Mar  8 13:23:00 2014,inactive
Sat Mar  8 13:19:00 2014,Sat Mar  8 13:20:00 2014,light_activity
Sat Mar  8 13:01:00 2014,Sat Mar  8 13:19:00 2014,inactive
Sat Mar  8 12:40:00 2014,Sat Mar  8 13:01:00 2014,light_activity
Sat Mar  8 12:28:00 2014,Sat Mar  8 12:40:00 2014,inactive
Sat Mar  8 11:47:00 2014,Sat Mar  8 12:28:00 2014,light_activity
Sat Mar  8 11:44:00 2014,Sat Mar  8 11:47:00 2014,inactive
Sat Mar  8 11:40:00 2014,Sat Mar  8 11:44:00 2014,light_activity
Sat Mar  8 11:05:00 2014,Sat Mar  8 11:40:00 2014,moderate_activity
Sat Mar  8 10:38:00 2014,Sat Mar  8 11:05:00 2014,light_activity
Sat Mar  8 10:34:00 2014,Sat Mar  8 10:38:00 2014,inactive
Sat Mar  8 10:12:00 2014,Sat Mar  8 10:34:00 2014,light_activity
Sat Mar  8 10:09:00 2014,Sat Mar  8 10:12:00 2014,inactive
Sat Mar  8 10:03:00 2014,Sat Mar  8 10:09:00 2014,light_activity
Sat Mar  8 09:08:00 2014,Sat Mar  8 10:03:00 2014,inactive
Sat Mar  8 09:04:00 2014,Sat Mar  8 09:08:00 2014,light_activity
Fri Mar  7 23:14:00 2014,Sat Mar  8 09:04:00 2014,sleep
Fri Mar  7 23:02:00 2014,Fri Mar  7 23:14:00 2014,inactive
Fri Mar  7 23:00:00 2014,Fri Mar  7 23:02:00 2014,light_activity
Fri Mar  7 22:50:00 2014,Fri Mar  7 23:00:00 2014,inactive
Fri Mar  7 22:46:00 2014,Fri Mar  7 22:50:00 2014,light_activity
Fri Mar  7 22:41:00 2014,Fri Mar  7 22:46:00 2014,inactive
Fri Mar  7 22:40:00 2014,Fri Mar  7 22:41:00 2014,light_activity
Fri Mar  7 22:00:00 2014,Fri Mar  7 22:40:00 2014,inactive
Fri Mar  7 21:57:00 2014,Fri Mar  7 22:00:00 2014,light_activity
Fri Mar  7 21:43:00 2014,Fri Mar  7 21:57:00 2014,inactive
Fri Mar  7 21:30:00 2014,Fri Mar  7 21:43:00 2014,light_activity
Fri Mar  7 21:17:00 2014,Fri Mar  7 21:30:00 2014,inactive
Fri Mar  7 21:15:00 2014,Fri Mar  7 21:17:00 2014,light_activity
Fri Mar  7 21:04:00 2014,Fri Mar  7 21:15:00 2014,off_wrist
Fri Mar  7 20:53:00 2014,Fri Mar  7 21:04:00 2014,light_activity
Fri Mar  7 20:26:00 2014,Fri Mar  7 20:53:00 2014,inactive
Fri Mar  7 20:25:00 2014,Fri Mar  7 20:26:00 2014,light_activity
Fri Mar  7 20:13:00 2014,Fri Mar  7 20:25:00 2014,inactive
Fri Mar  7 20:12:00 2014,Fri Mar  7 20:13:00 2014,light_activity
Fri Mar  7 20:09:00 2014,Fri Mar  7 20:12:00 2014,inactive
Fri Mar  7 20:07:00 2014,Fri Mar  7 20:09:00 2014,light_activity
Fri Mar  7 20:02:00 2014,Fri Mar  7 20:07:00 2014,inactive
Fri Mar  7 20:00:00 2014,Fri Mar  7 20:02:00 2014,light_activity
Fri Mar  7 19:56:00 2014,Fri Mar  7 20:00:00 2014,inactive
Fri Mar  7 19:31:00 2014,Fri Mar  7 19:56:00 2014,light_activity
Fri Mar  7 19:08:00 2014,Fri Mar  7 19:31:00 2014,inactive
Fri Mar  7 19:04:00 2014,Fri Mar  7 19:08:00 2014,light_activity
Fri Mar  7 18:47:00 2014,Fri Mar  7 19:04:00 2014,inactive
Fri Mar  7 18:33:00 2014,Fri Mar  7 18:47:00 2014,light_activity
Fri Mar  7 18:25:00 2014,Fri Mar  7 18:33:00 2014,off_wrist
Fri Mar  7 18:23:00 2014,Fri Mar  7 18:25:00 2014,light_activity
