time,steps,skin_temp,heart_rate,gsr,calories
Sat Mar  1 00:00:00 2014,0,93.2,71,0.000485,0.9
Sat Mar  1 00:01:00 2014,0,93.2,71,0.000476,0.9
Sat Mar  1 00:02:00 2014,0,93.3,75,0.000485,0.8
Sat Mar  1 00:03:00 2014,0,93.4,79,0.000497,0.9
Sat Mar  1 00:04:00 2014,0,93.4,76,0.000468,0.9
Sat Mar  1 00:05:00 2014,0,93.4,79,0.000476,0.9
Sat Mar  1 00:06:00 2014,0,93.2,82,0.000481,0.9
Sat Mar  1 00:07:00 2014,0,93.2,83,0.000496,0.9
Sat Mar  1 00:08:00 2014,0,93.2,72,0.000493,1.0
Sat Mar  1 00:09:00 2014,0,93.0,77,0.000484,1.0
Sat Mar  1 00:10:00 2014,0,92.8,76,0.000497,1.0
Sat Mar  1 00:11:00 2014,0,92.8,76,0.000504,0.9
Sat Mar  1 00:12:00 2014,0,92.8,80,0.000503,0.9
Sat Mar  1 00:13:00 2014,0,92.8,75,0.000512,0.8
Sat Mar  1 00:14:00 2014,0,92.6,75,0.000515,0.9
Sat Mar  1 00:15:00 2014,0,92.5,76,0.000511,0.9
Sat Mar  1 00:16:00 2014,0,92.5,77,0.000511,0.8
Sat Mar  1 00:17:00 2014,0,92.5,79,0.000523,0.9
Sat Mar  1 00:18:00 2014,0,92.5,79,0.00049,0.8
Sat Mar  1 00:19:00 2014,0,92.5,79,0.000522,0.9
Sat Mar  1 00:20:00 2014,0,92.5,80,0.000505,0.8
Sat Mar  1 00:21:00 2014,0,92.4,78,0.000492,0.9
Sat Mar  1 00:22:00 2014,0,92.4,77,0.000504,0.8
Sat Mar  1 00:23:00 2014,0,92.3,77,0.000489,0.9
Sat Mar  1 00:24:00 2014,0,92.3,79,0.00051,0.8
Sat Mar  1 00:25:00 2014,0,92.3,84,0.000505,1.1
Sat Mar  1 00:26:00 2014,0,92.3,72,0.000485,0.9
Sat Mar  1 00:27:00 2014,0,92.1,72,0.000498,0.8
Sat Mar  1 00:28:00 2014,0,92.1,73,0.000488,0.9
Sat Mar  1 00:29:00 2014,0,92.1,74,0.0005,0.8
Sat Mar  1 00:30:00 2014,0,91.9,72,0.000495,0.9
Sat Mar  1 00:31:00 2014,0,91.9,73,0.0005,0.8
Sat Mar  1 00:32:00 2014,0,91.9,75,0.000507,0.9
Sat Mar  1 00:33:00 2014,0,91.9,69,0.000507,0.9
Sat Mar  1 00:34:00 2014,0,91.9,73,0.000506,0.9
Sat Mar  1 00:35:00 2014,0,92.0,69,0.000495,0.9
Sat Mar  1 00:36:00 2014,0,91.9,73,0.0005,0.8
Sat Mar  1 00:37:00 2014,0,91.9,72,0.000506,0.9
Sat Mar  1 00:38:00 2014,0,91.9,71,0.000503,0.8
Sat Mar  1 00:39:00 2014,0,91.9,75,0.000505,0.9
Sat Mar  1 00:40:00 2014,0,91.9,75,0.000504,0.8
Sat Mar  1 00:41:00 2014,0,91.9,75,0.000503,0.9
Sat Mar  1 00:42:00 2014,0,91.9,75,0.000503,0.9
Sat Mar  1 00:43:00 2014,0,91.9,74,0.000501,0.8
Sat Mar  1 00:44:00 2014,0,91.9,73,0.000505,0.9
Sat Mar  1 00:45:00 2014,0,91.9,74,0.000504,0.9
Sat Mar  1 00:46:00 2014,0,91.9,74,0.000506,0.8
Sat Mar  1 00:47:00 2014,0,91.9,73,0.000511,0.9
Sat Mar  1 00:48:00 2014,0,91.9,75,0.000509,0.8
Sat Mar  1 00:49:00 2014,0,91.9,75,0.000516,0.9
Sat Mar  1 00:50:00 2014,0,91.9,69,0.000506,0.9
Sat Mar  1 00:51:00 2014,0,91.9,72,0.00052,0.9
Sat Mar  1 00:52:00 2014,0,91.9,74,0.000519,0.8
Sat Mar  1 00:53:00 2014,0,91.9,75,0.000517,0.9
Sat Mar  1 00:54:00 2014,0,91.9,69,0.000519,1.0
Sat Mar  1 00:55:00 2014,0,91.9,70,0.00053,0.9
Sat Mar  1 00:56:00 2014,0,92.1,68,0.000532,0.9
Sat Mar  1 00:57:00 2014,0,92.1,70,0.000534,0.8
Sat Mar  1 00:58:00 2014,0,92.1,71,0.00054,0.8
Sat Mar  1 00:59:00 2014,0,92.1,71,0.000537,0.9
Sat Mar  1 01:00:00 2014,0,92.1,73,0.000538,0.8
Sat Mar  1 01:01:00 2014,0,92.1,73,0.000539,0.9
Sat Mar  1 01:02:00 2014,0,92.1,74,0.00054,0.9
Sat Mar  1 01:03:00 2014,0,92.1,74,0.000548,0.8
Sat Mar  1 01:04:00 2014,0,92.1,73,0.000542,0.8
Sat Mar  1 01:05:00 2014,0,92.1,73,0.000549,0.9
Sat Mar  1 01:06:00 2014,0,92.1,69,0.000545,0.8
Sat Mar  1 01:07:00 2014,0,92.1,71,0.000551,0.9
Sat Mar  1 01:08:00 2014,0,92.1,69,0.000553,0.8
Sat Mar  1 01:09:00 2014,0,92.1,71,0.000548,0.9
Sat Mar  1 01:10:00 2014,0,92.1,70,0.000538,0.8
Sat Mar  1 01:11:00 2014,0,92.1,71,0.000564,0.9
Sat Mar  1 01:12:00 2014,0,92.1,73,0.000575,0.9
Sat Mar  1 01:13:00 2014,0,92.0,71,0.00055,0.8
Sat Mar  1 01:14:00 2014,0,91.9,70,0.000579,0.8
Sat Mar  1 01:15:00 2014,0,91.9,70,0.000573,0.9
Sat Mar  1 01:16:00 2014,0,91.9,71,0.000537,0.8
Sat Mar  1 01:17:00 2014,0,91.9,70,0.000551,0.9
Sat Mar  1 01:18:00 2014,0,91.9,71,0.000494,0.9
Sat Mar  1 01:19:00 2014,0,91.9,71,0.000536,0.8
Sat Mar  1 01:20:00 2014,0,92.0,70,0.000567,0.9
Sat Mar  1 01:21:00 2014,0,92.0,68,0.000593,0.8
Sat Mar  1 01:22:00 2014,0,92.0,70,0.000552,0.9
Sat Mar  1 01:23:00 2014,0,92.1,66,0.000563,1.1
Sat Mar  1 01:24:00 2014,0,92.1,67,0.000576,1.0
Sat Mar  1 01:25:00 2014,0,92.1,62,0.000595,0.9
Sat Mar  1 01:26:00 2014,0,92.1,65,0.00058,0.8
Sat Mar  1 01:27:00 2014,0,92.3,67,0.000568,0.9
Sat Mar  1 01:28:00 2014,0,92.5,72,0.000568,0.8
Sat Mar  1 01:29:00 2014,0,92.8,77,0.000591,0.9
Sat Mar  1 01:30:00 2014,0,93.1,75,0.000574,0.8
Sat Mar  1 01:31:00 2014,0,93.4,76,0.00059,0.9
